project,bug_id,any_detected,failure_type
Cli,7,True,Soft
Cli,14,True,Soft
Closure,11,True,Soft
Closure,12,True,Soft
Closure,13,True,Soft
Closure,15,True,Soft
Closure,28,True,Soft
Closure,30,True,Soft
Closure,33,True,Soft
Closure,36,True,Soft
Closure,39,True,Soft
Closure,44,True,Soft
Closure,49,True,Soft
Closure,50,True,Soft
Closure,51,True,Soft
Closure,52,True,Soft
Closure,55,True,Soft
Closure,56,True,Soft
Closure,58,True,Soft
Closure,60,True,Soft
Closure,69,True,Soft
Closure,82,True,Soft
Closure,84,True,Soft
Closure,95,True,Soft
Closure,98,True,Soft
Closure,102,True,Soft
Closure,111,True,Soft
Closure,114,True,Soft
Closure,119,True,Soft
Closure,120,True,Soft
Closure,128,True,Soft
Closure,129,True,Soft
Closure,131,True,Soft
Closure,148,True,Soft
Closure,153,True,Soft
Closure,156,True,Soft
Closure,163,True,Soft
Closure,167,True,Soft
Closure,170,True,Soft
Collections,17,True,Soft
Compress,39,True,Soft
JacksonDatabind,4,True,Soft
JacksonDatabind,9,True,Soft
JacksonDatabind,16,True,Soft
JacksonDatabind,21,True,Soft
JacksonDatabind,23,True,Soft
JacksonDatabind,37,True,Soft
JacksonDatabind,39,True,Soft
JacksonDatabind,43,True,Soft
JacksonDatabind,44,True,Soft
JacksonDatabind,48,True,Soft
JacksonDatabind,59,True,Soft
JacksonDatabind,69,True,Soft
JacksonDatabind,72,True,Soft
JacksonDatabind,77,True,Soft
JacksonDatabind,84,True,Soft
JacksonDatabind,86,True,Soft
JacksonDatabind,91,True,Soft
JacksonDatabind,97,True,Soft
JacksonDatabind,105,True,Soft
Jsoup,14,True,Soft
Jsoup,24,True,Soft
Jsoup,44,True,Soft
Jsoup,55,True,Soft
Jsoup,86,True,Soft
Jsoup,91,True,Soft
JxPath,2,True,Soft
JxPath,10,True,Soft
JxPath,21,True,Soft
Math,14,True,Soft
Math,31,True,Soft
Mockito,3,True,Soft
Mockito,12,True,Soft
Mockito,13,True,Soft
Mockito,14,True,Soft
Mockito,15,True,Soft
Mockito,20,True,Soft
Mockito,29,True,Soft
Mockito,33,True,Soft
Mockito,34,True,Soft
Mockito,35,True,Soft
Mockito,36,True,Soft
Time,13,True,Soft
Time,22,True,Soft
Time,24,True,Soft
