tool,feature,unique_n,others_n,unique_median,others_median,unique_mean,others_mean,median_diff,u_statistic,p_value,cliffs_delta,effect_size,pval_adj,reject,significant,abs_delta,practically_significant
BRaIn,txt_description_line_count,25,306,-0.5967488977391603,0.374543867275725,-0.38597836773093014,0.20024284126631356,-0.9712927650148853,1040.0,1.4022821279252323e-09,-0.7281045751633987,large,3.645933532605604e-08,True,True,0.7281045751633987,True
BRaIn,actionability,25,306,-0.163033776330488,0.8491089986580442,-0.6286194528252129,0.5166895578529872,-1.0121427749885323,1275.0,9.294179125303979e-10,-0.6666666666666666,large,2.5094283638320744e-08,True,True,0.6666666666666666,True
BRaIn,txt_title_avg_sentence_len,25,306,-0.70287777031615,0.363561074525272,-0.6303599288669333,0.44598355387330996,-1.066438844841422,1321.5,2.8150075284798554e-08,-0.6545098039215687,large,7.037518821199639e-07,True,True,0.6545098039215687,True
BRaIn,clarity,25,306,-0.2346268238579989,0.7623879238337528,-0.6334327229346995,0.5049886915865359,-0.9970147476917517,1331.5,5.704042218432072e-10,-0.6518954248366013,large,1.59713182116098e-08,True,True,0.6518954248366013,True
BRaIn,technical_completeness,25,306,-0.375467746355658,0.6863970062505214,-0.6196966394550792,0.4964064990440235,-1.0618647526061793,1426.0,6.196499260250932e-08,-0.6271895424836601,large,1.4871598224602236e-06,True,True,0.6271895424836601,True
BRaIn,txt_title_digit_density,25,306,-0.6450552541976357,0.392236887967951,-0.5205274325898659,0.3379569444411433,-1.0372921421655867,1492.5,2.302888039150457e-07,-0.6098039215686275,large,4.83606488221596e-06,True,True,0.6098039215686275,True
BRaIn,description_length,25,306,-0.6046795619411115,0.052201402602813446,-0.4806231080822944,0.24304773536995486,-0.656880964543925,1515.0,5.152506200949391e-07,-0.6039215686274509,large,1.0305012401898783e-05,True,True,0.6039215686274509,True
BRaIn,expected_observed_alignment,25,306,-0.7508759403905653,0.7027131095927159,-0.6733511910581236,0.5158683297473704,-1.453589049983281,1517.0,1.317617928420537e-10,-0.6033986928104575,large,3.8210919924195575e-09,True,True,0.6033986928104575,True
BRaIn,repair_difficulty,25,306,0.7913689832670419,-0.6545677804703322,0.5600191010690619,-0.5435236172421353,1.445936763737374,6118.5,1.6568546272283963e-07,0.5996078431372549,large,3.645080179902472e-06,True,True,0.5996078431372549,True
BRaIn,reasoning_composite,25,306,-0.31697461235302,0.7333182500071839,-0.6110566138138769,0.47074503441713295,-1.050292862360204,1583.0,7.39572534669569e-08,-0.5861437908496732,large,1.7010168297400087e-06,True,True,0.5861437908496732,True
