tool,feature,corr,pval,n,n_found,n_not_found,analysis,pval_adj,reject,practically_significant
FlexFL,summary_chars,0.23011152008744493,8.834301560763226e-10,693,390,303,found_vs_notfound,1.484162662208222e-07,True,True
FlexFL,description_chars,-0.026804731258955015,0.4811311441075878,693,390,303,found_vs_notfound,1.0,False,False
FlexFL,n_tokens,-0.0004700815617480845,0.9901443753177922,693,390,303,found_vs_notfound,1.0,False,False
FlexFL,n_words,0.012498048955146923,0.7425875567266577,693,390,303,found_vs_notfound,1.0,False,False
FlexFL,n_sentences,-0.029736816665816217,0.43446251053637547,693,390,303,found_vs_notfound,1.0,False,False
FlexFL,flesch_reading_ease,0.11955503704328946,0.00172094788997807,685,387,298,found_vs_notfound,0.23921175670695172,False,False
FlexFL,smog_index,0.05151850349689924,0.1780446113970412,685,387,298,found_vs_notfound,1.0,False,False
FlexFL,gunning_fog,-0.02888226894350475,0.45043009435731773,685,387,298,found_vs_notfound,1.0,False,False
FlexFL,coleman_liau_index,-0.12824632125845445,0.000767383177153263,685,387,298,found_vs_notfound,0.10896841115576335,False,False
FlexFL,automated_readability_index,-0.14299457051391606,0.0001733386690923673,685,387,298,found_vs_notfound,0.02565412302567036,True,False
FlexFL,has_stacktrace,-0.045270389795042804,0.23396896141101262,693,390,303,found_vs_notfound,1.0,False,False
FlexFL,has_code,0.09492949827436911,0.01241422367199684,693,390,303,found_vs_notfound,1.0,False,False
FlexFL,has_patch,0.049633056263370244,0.19188243454669784,693,390,303,found_vs_notfound,1.0,False,False
FlexFL,has_enumeration,0.04110437955989711,0.2798876761615288,693,390,303,found_vs_notfound,1.0,False,False
FlexFL,num_causal_markers,0.07108432199569119,0.06144557925040672,693,390,303,found_vs_notfound,1.0,False,False
FlexFL,num_temporal_markers,-0.01647201550795587,0.6651087677175233,693,390,303,found_vs_notfound,1.0,False,False
FlexFL,causal_density,0.08709626998125997,0.021846871719487477,693,390,303,found_vs_notfound,1.0,False,False
FlexFL,temporal_density,0.010692003969965298,0.7787366489630371,693,390,303,found_vs_notfound,1.0,False,False
FlexFL,num_os_mentions,0.025442510647703524,0.5037056806185854,693,390,303,found_vs_notfound,1.0,False,False
FlexFL,num_browser_mentions,-0.021882729284039837,0.5652308088779308,693,390,303,found_vs_notfound,1.0,False,False
FlexFL,num_env_mentions,-0.006544097774847487,0.8634662079516194,693,390,303,found_vs_notfound,1.0,False,False
FlexFL,num_versions,0.06783848805790818,0.07431431373205942,693,390,303,found_vs_notfound,1.0,False,False
FlexFL,has_os_info,0.026681412101718215,0.48315188713953827,693,390,303,found_vs_notfound,1.0,False,False
FlexFL,has_version_info,0.1968245944855603,1.7584841324272557e-07,693,390,303,found_vs_notfound,2.778404929235064e-05,True,False
FlexFL,num_exception_types,-0.028921669326656994,0.4471682598005614,693,390,303,found_vs_notfound,1.0,False,False
FlexFL,stacktrace_depth,-0.03258268811842168,0.3917684073730089,693,390,303,found_vs_notfound,1.0,False,False
FlexFL,num_caused_by,-0.06859593139479805,0.07112997700863885,693,390,303,found_vs_notfound,1.0,False,False
FlexFL,num_modal_verbs,-0.05062263603981276,0.18316161611629792,693,390,303,found_vs_notfound,1.0,False,False
FlexFL,num_negative_modals,0.01553606721560541,0.6830742655380475,693,390,303,found_vs_notfound,1.0,False,False
FlexFL,modal_density,-0.10604886650807738,0.005196888769753344,693,390,303,found_vs_notfound,0.7015799839167014,False,False
FlexFL,redundancy,-0.028112377691759054,0.45998874179012406,693,390,303,found_vs_notfound,1.0,False,False
FlexFL,ambiguity,0.004687729415802259,0.9019630757329267,693,390,303,found_vs_notfound,1.0,False,False
FlexFL,actionability,0.21191639640814253,1.774085878526735e-08,693,390,303,found_vs_notfound,2.909500840783845e-06,True,True
